Total_Trades,Win_Rate,Balance_Profit_Percent,Balance_Drawdown_Percent,Equity_Drawdown_Percent,Profit_Factor,Recovery_Factor,Sharpe_Ratio,strategy_id,strategy_name,period
2908,0.2487,3.7005,0.2092,0.1489,1.031,2.3965,0.3169,FOREX_Strategy_A,Trend_Following_V1,training
1639,0.2861,1.9319,0.2591,0.3413,0.9686,0.6802,1.2946,FOREX_Strategy_A,Trend_Following_V1,testing
2372,0.5076,0.7465,0.2502,0.1287,1.1297,1.9824,1.061,FOREX_Strategy_B,Trend_Following_V2,training
1354,0.2861,0.3944,0.2113,0.2469,2.0691,1.7503,1.3854,FOREX_Strategy_B,Trend_Following_V2,testing
2378,0.1622,3.038,0.1904,0.1751,2.7839,0.3696,1.2142,FOREX_Strategy_C,Trend_Following_V3,training
1414,0.1967,2.9773,0.2155,0.2409,2.8156,2.9633,1.4116,FOREX_Strategy_C,Trend_Following_V3,testing
2711,0.2062,1.2166,0.2335,0.244,1.4002,1.698,1.4021,FOREX_Strategy_D,Trend_Following_V4,training
1417,0.3722,1.2004,0.2025,0.2608,1.2284,2.3599,1.2653,FOREX_Strategy_D,Trend_Following_V4,testing
2661,0.2883,3.3621,0.2074,0.3364,1.8471,4.1591,1.1178,FOREX_Strategy_E,Mean_Reversion_V1,training
1598,0.3632,3.6989,0.2409,0.346,1.0463,1.8423,0.9364,FOREX_Strategy_E,Mean_Reversion_V1,testing
2854,0.1623,0.8839,0.2397,0.0617,1.7319,4.8362,1.7085,FOREX_Strategy_F,Mean_Reversion_V2,training
1478,0.1941,2.5098,0.2137,0.2516,0.3689,1.7381,1.7374,FOREX_Strategy_F,Mean_Reversion_V2,testing
2794,0.3079,1.3593,0.1877,0.1514,1.9801,2.1827,1.3385,FOREX_Strategy_G,Mean_Reversion_V3,training
1530,0.1614,1.6677,0.292,0.0911,2.8591,2.8589,1.4196,FOREX_Strategy_G,Mean_Reversion_V3,testing
2843,0.4302,1.1889,0.2347,0.2828,1.2336,0.2826,1.109,FOREX_Strategy_H,Mean_Reversion_V4,training
1500,0.277,0.8366,0.2011,0.1553,1.2596,0.2846,0.9211,FOREX_Strategy_H,Mean_Reversion_V4,testing
2576,0.2707,3.1886,0.2294,0.2191,1.0737,1.1989,1.2499,FOREX_Strategy_I,Breakout_V1,training
1495,0.504,0.9184,0.1872,0.1346,0.8907,5.7878,1.2044,FOREX_Strategy_I,Breakout_V1,testing
2790,0.3834,0.2505,0.2217,0.231,0.8415,2.4179,1.3501,FOREX_Strategy_J,Breakout_V2,training
1542,0.2506,0.8681,0.2428,0.1775,1.4671,0.9786,1.1155,FOREX_Strategy_J,Breakout_V2,testing
2993,0.4343,3.7113,0.2538,0.2431,0.4999,3.1095,1.4407,FOREX_Strategy_K,Breakout_V3,training
1463,0.5105,2.9761,0.2038,0.0569,1.0991,1.054,1.6395,FOREX_Strategy_K,Breakout_V3,testing
2832,0.3283,1.476,0.1013,0.0944,2.5394,4.4824,1.2097,FOREX_Strategy_L,Breakout_V4,training
1650,0.3909,3.6564,0.2492,0.3157,0.349,3.9076,0.421,FOREX_Strategy_L,Breakout_V4,testing

