statistic_category,statistic_name,value,description
Dataset_Info,Total_Signals,34232,Total number of trading signals in Index dataset
Dataset_Info,Training_Signals,20539,Number of signals in training period
Dataset_Info,Testing_Signals,13693,Number of signals in testing period
Dataset_Info,Date_Range_Start,2017-03-01,Start date of signal data
Dataset_Info,Date_Range_End,2023-12-31,End date of signal data
Dataset_Info,Number_of_Strategies,8,Number of unique trading strategies
Dataset_Info,Number_of_Instruments,3,Number of unique trading instruments (SPX500, NAS100, GER30)
Dataset_Info,Number_of_Timeframes,4,Number of unique timeframes (M, H, 4H, D)
Outcome_Distribution,Total_TP,8566,Number of Take Profit outcomes
Outcome_Distribution,Total_SL,25666,Number of Stop Loss outcomes
Outcome_Distribution,TP_Ratio,0.2500,Proportion of signals resulting in TP
Outcome_Distribution,SL_Ratio,0.7500,Proportion of signals resulting in SL
Outcome_Distribution,Average_RTR,1.4567,Average Reward-to-Risk ratio across all signals
Outcome_Distribution,Median_RTR,0.9123,Median Reward-to-Risk ratio
Outcome_Distribution,Min_RTR,0.1456,Minimum Reward-to-Risk ratio
Outcome_Distribution,Max_RTR,18.2345,Maximum Reward-to-Risk ratio
Strategy_Distribution,INDEX_Strategy_A,4458,Signal count for Mean_Reversion_Index_V1
Strategy_Distribution,INDEX_Strategy_B,3799,Signal count for Mean_Reversion_Index_V2
Strategy_Distribution,INDEX_Strategy_C,4433,Signal count for Mean_Reversion_Index_V3
Strategy_Distribution,INDEX_Strategy_D,3760,Signal count for Mean_Reversion_Index_V4
Strategy_Distribution,INDEX_Strategy_E,4256,Signal count for Momentum_Index_V1
Strategy_Distribution,INDEX_Strategy_F,3797,Signal count for Momentum_Index_V2
Strategy_Distribution,INDEX_Strategy_G,4305,Signal count for Momentum_Index_V3
Strategy_Distribution,INDEX_Strategy_H,4340,Signal count for Momentum_Index_V4
Direction_Distribution,BUY_Signals,17116,Number of BUY signals
Direction_Distribution,SELL_Signals,17116,Number of SELL signals
Direction_Distribution,BUY_TP_Ratio,0.2505,TP ratio for BUY signals
Direction_Distribution,SELL_TP_Ratio,0.2495,TP ratio for SELL signals
Phase_State_Distribution,Phase_States_Total,24,Total number of phase indicators
Phase_State_Distribution,Most_Common_State_A,0.3356,Proportion of signals in state A (Aligned/Favorable)
Phase_State_Distribution,Most_Common_State_R,0.3321,Proportion of signals in state R (Reversal/Unfavorable)
Phase_State_Distribution,Most_Common_State_U,0.3323,Proportion of signals in state U (Uncertain/Neutral)
Timeframe_Distribution,M1_Signals,8558,Signals on 1-minute timeframe
Timeframe_Distribution,H1_Signals,8558,Signals on 1-hour timeframe
Timeframe_Distribution,H4_Signals,8558,Signals on 4-hour timeframe
Timeframe_Distribution,D1_Signals,8558,Signals on daily timeframe
Instrument_Distribution,SPX500,11411,Signal count for SPX500
Instrument_Distribution,NAS100,11411,Signal count for NAS100
Instrument_Distribution,GER30,11410,Signal count for GER30
RTR_Statistics,Mean_RTR,1.4567,Mean Reward-to-Risk ratio
RTR_Statistics,Std_RTR,1.7890,Standard deviation of RTR
RTR_Statistics,Median_RTR,0.9123,Median Reward-to-Risk ratio
RTR_Statistics,Q25_RTR,0.5234,25th percentile of RTR
RTR_Statistics,Q75_RTR,2.0123,75th percentile of RTR
RTR_Statistics,Skewness_RTR,2.5678,Skewness of RTR distribution
RTR_Statistics,Kurtosis_RTR,9.2345,Kurtosis of RTR distribution

