generation,pareto_size,hypervolume,Balance,Win_Rate,Max_DD,Profit_Factor,Recovery_Factor,Sharpe_Ratio,Total_Trades
1,33,0.3375,151.83,30.55,75.32,1.03,0.31,1.21,3598
2,41,0.5172,223.1,31.5,45.35,1.05,0.3,1.24,3325
3,43,0.3959,144.23,31.52,45.42,0.81,5.12,1.25,5598
4,40,0.5659,300.46,28.91,58.41,2.17,2.4,1.26,526
5,43,0.3625,157.21,33.68,41.7,3.72,3.85,1.24,8018
6,45,0.3095,129.7,33.55,44.67,3.14,1.5,1.28,2137
7,25,0.5327,369.59,43.52,32.45,2.37,17.02,1.25,877
8,50,0.4269,224.89,29.58,41.82,0.61,3.66,1.26,484
9,63,0.4143,211.57,29.01,46.03,2.65,4.16,1.25,1532
10,51,0.4472,244.12,30.33,43.76,1.72,0.3,1.25,465
11,30,0.4699,540.37,41.01,24.1,3.42,1.0,1.67,548
12,47,0.4079,497.37,44.15,27.54,1.78,7.58,1.83,548
13,44,0.4531,497.18,44.13,25.92,2.49,2.69,1.81,548
14,38,0.4607,540.07,50.19,22.15,2.3,4.86,1.89,232
15,41,0.6197,539.92,50.2,26.29,2.0,5.06,1.84,232
16,50,0.7656,540.36,50.75,21.97,1.33,1.0,1.84,180
17,42,0.4601,500.31,42.05,17.08,1.79,4.41,2.01,385
18,32,0.7095,543.94,48.61,23.89,2.48,3.29,1.94,444
19,51,0.5692,539.94,41.5,23.85,2.08,2.19,2.03,405
20,42,0.7707,539.79,50.75,26.72,2.24,1.0,2.16,180
21,47,0.7251,474.71,50.95,28.31,2.13,1.92,2.27,77
22,38,0.8243,539.77,50.79,17.63,1.95,1.0,2.36,151
23,48,0.6915,540.22,50.83,24.24,2.14,3.81,2.21,121
24,56,0.762,539.73,51.04,17.92,2.56,5.53,2.1,111
25,21,0.761,540.07,50.69,25.41,1.26,6.7,2.45,131
26,48,0.7317,540.06,50.39,23.42,2.73,1.89,2.09,174
27,45,0.6687,540.09,50.52,23.34,2.47,2.98,2.1,164
28,43,0.6061,539.95,46.88,24.79,2.61,5.11,2.24,177
29,54,0.544,539.77,49.26,16.33,2.26,4.44,2.47,211
30,52,0.4796,539.93,50.83,28.58,1.98,2.78,2.22,121
31,55,0.538,539.94,51.02,13.67,2.15,2.79,2.51,154
32,64,0.6846,539.73,50.85,20.5,2.2,6.82,2.08,157
33,50,0.5817,498.11,58.98,23.94,1.89,4.17,2.54,79
34,54,0.6635,539.94,59.06,14.77,2.64,4.87,2.14,97
35,54,0.5421,540.08,51.04,11.78,2.91,3.57,2.49,121
36,56,0.5563,539.65,50.96,26.04,2.02,1.55,2.2,159
37,46,0.605,539.73,47.3,22.98,2.26,2.59,2.14,167
38,54,0.4833,448.66,59.02,21.45,1.65,5.42,2.59,70
39,57,0.6054,539.94,50.85,19.73,2.16,12.25,2.12,135
40,56,0.5726,475.07,50.95,23.05,3.53,1.96,2.49,86
