Balance,Win_Rate,Max_DD,Profit_Factor,Recovery_Factor,Sharpe_Ratio,Total_Trades
485.23,38.45,28.92,0.72,0.35,0.85,459
542.19,37.9,31.63,1.03,0.42,1.23,1263
497.62,43.22,22.59,2.97,4.13,1.88,1338
312.45,40.19,35.09,0.68,0.28,0.92,368
340.06,50.05,21.63,0.84,0.39,0.95,215
495.42,38.84,25.87,2.26,3.68,1.97,1014
240.2,40.05,29.63,0.89,0.38,0.82,469
280.11,41.03,30.57,0.87,0.42,0.92,934
380.1,50.49,26.99,1.42,1.39,1.15,247
295.57,36.09,31.09,0.76,0.28,0.88,1053
345.15,34.83,23.19,1.32,1.35,0.95,457
247.27,39.46,24.96,1.24,1.32,0.78,548
440.11,50.81,24.38,1.48,2.14,1.69,136
540.08,37.71,21.39,0.59,0.31,0.98,1229
539.92,40.34,30.09,0.35,0.25,0.67,431
395.5,37.4,26.27,1.33,1.37,0.89,1258
539.93,50.26,18.79,2.85,4.42,2.39,184
298.06,35.53,24.44,1.23,1.30,0.85,1133
339.94,41.28,31.91,1.22,1.29,0.71,1141
439.84,49.21,21.43,1.64,2.08,1.79,313
339.93,45.79,23.96,1.30,1.35,0.88,1414
296.08,34.72,23.51,1.22,1.27,0.79,467
439.65,42.69,25.94,1.46,1.45,1.35,791
439.94,49.17,29.24,1.15,1.17,1.27,806
498.07,46.92,23.08,0.35,0.28,0.54,541
543.14,33.98,24.83,0.54,0.39,0.79,497
440.05,47.26,22.11,1.58,1.9,1.61,144
439.75,59.2,18.56,0.95,0.56,0.97,109
440.24,39.35,26.55,1.46,1.47,1.67,371
340.28,40.34,25.88,1.20,1.32,0.88,352
