generation,pareto_size,hypervolume,Balance,Win_Rate,Max_DD,Profit_Factor,Recovery_Factor,Sharpe_Ratio,Total_Trades
1,22,0.4079,359.78,35.63,41.17,1.92,1.31,1.39,2273
2,34,0.469,368.16,35.57,39.8,1.66,1.35,1.47,2273
3,30,0.4418,338.17,35.56,37.27,1.6,1.64,1.55,2273
4,38,0.5239,350.6,35.62,38.97,1.31,2.65,1.55,2273
5,46,0.5171,397.4,37.9,38.49,0.47,1.77,1.72,1320
6,38,0.6413,398.78,38.15,32.57,0.99,2.13,1.84,1214
7,53,0.6004,378.48,38.17,31.57,0.93,0.56,1.93,1214
8,51,0.6446,498.45,38.61,34.39,1.72,2.02,1.87,1088
9,55,0.6807,497.83,36.19,36.64,0.62,2.92,1.92,996
10,54,0.6941,440.24,36.39,33.34,1.59,2.04,1.87,420
11,39,0.7361,440.05,36.04,34.73,2.52,2.15,1.91,752
12,47,0.7243,399.9,40.97,32.95,0.79,0.99,1.94,1128
13,35,0.7014,398.04,42.07,36.98,1.7,2.32,1.94,1313
14,52,0.7316,440.19,36.74,37.24,1.09,2.04,1.94,767
15,42,0.7527,440.13,40.18,31.48,1.03,2.81,1.92,603
16,54,0.7721,440.24,42.32,40.33,0.62,1.9,2.04,870
17,51,0.8025,439.89,37.41,38.59,2.35,1.49,1.99,794
18,50,0.8152,440.07,48.42,33.55,1.06,3.9,2.15,494
19,35,0.8241,440.36,50.27,38.92,1.88,2.76,2.19,459
20,49,0.827,440.24,50.55,39.37,1.4,0.99,1.93,196
21,49,0.8321,440.11,49.91,38.66,1.2,0.97,1.97,296
22,53,0.835,480.75,50.35,34.99,0.12,2.01,1.89,161
23,51,0.8389,439.85,50.07,33.09,1.17,1.69,2.18,308
24,59,0.8371,440.07,50.54,38.18,0.93,3.59,2.14,196
25,52,0.8333,439.94,49.7,33.4,2.56,2.48,1.88,320
26,61,0.8418,439.93,50.15,40.06,0.97,2.64,1.96,257
27,57,0.8358,396.81,46.6,35.55,0.68,3.11,1.99,251
28,62,0.8395,439.94,51.04,36.01,0.95,2.03,1.84,105
29,59,0.8447,440.1,51.04,34.02,1.94,2.41,2.18,105
30,62,0.847,439.94,48.14,31.94,2.16,2.06,1.89,343
31,49,0.8424,439.93,50.8,31.11,1.26,0.97,1.87,153
32,57,0.8409,439.86,48.74,34.61,0.73,2.44,2.11,279
33,61,0.8464,439.93,50.94,34.17,1.64,3.58,1.82,129
34,62,0.8468,439.94,50.64,34.57,2.61,2.38,2.15,143
35,58,0.84,440.32,47.19,41.17,2.13,0.39,2.09,269
36,59,0.8459,439.73,50.94,40.91,1.87,2.64,1.89,129
37,42,0.8505,440.18,51.03,37.59,1.53,2.6,1.95,150
38,65,0.8497,439.86,50.09,32.58,1.02,0.11,2.14,121
39,61,0.8481,439.86,51.04,40.58,1.4,0.61,1.85,149
40,56,0.8518,440.07,51.04,37.16,1.8,2.81,1.94,149
